run_id,query
P0001_r1,free website or program to translate video and add subtitles automatically
P0001_r2,free website or program to translate video and add subtitles automatically 20-minute video
P0001_r3,free website program translate video and add subtitles automatically
P0002_r1,free AI tools for audio transcription
P0002_r2,free AI audio transcription tools
P0002_r3,free AI tools for audio transcription
P0003_r1,tools available for text to speech software options
P0003_r2,tools available for text to speech software options
P0003_r3,tools for text to speech services available 2026 text to speech
P0004_r1,best speech to text solutions
P0004_r2,best speech to text solutions
P0004_r3,best speech to text solutions
P0005_r1,free applications that read text in naturalistic voices text to speech free apps
P0005_r2,free applications that read text in natural voices text to speech free apps
P0005_r3,free applications that can read text aloud naturalistic voices text to speech free apps
P0006_r1,text to speech software options besides Outplayed
P0006_r2,text to speech software options besides Outplayed
P0006_r3,text-to-speech software options besides Outplayed TTS tools
P0007_r1,real-time voice translator apps best
P0007_r2,real-time voice translator app recommendations
P0007_r3,real-time voice translator apps recommendations
P0008_r1,software live call subtitles same language and translation separate line
P0008_r2,software live call subtitles same language and separate translation line live captions translation for Zoom Teams etc
P0008_r3,software live call subtitles same language and separate translation line real time captions translation video calls
P0009_r1,live translation software for video chats Zoom Teams live translation
P0009_r2,live translation software for video chats Zoom Teams live translation options
P0009_r3,live translation software for video chats Zoom Teams real-time translation
